code,term
126906006,Neoplasm of prostate
176106009,Radical cystoprostatourethrectomy
176261008,Radical prostatectomy without pelvic node excision
176262001,Radical prostatectomy with pelvic node sampling
176263006,Radical prostatectomy with pelvic lymphadenectomy
369775001,Gleason Score 2-4: Well differentiated
369777009,Gleason Score 8-10: Poorly differentiated
385377005,Gleason grade finding for prostatic cancer
394932008,Gleason prostate grade 5-7 (medium)
399068003,Malignant tumor of prostate
428262008,History of malignant neoplasm of prostate
81232004,Radical cystoprostatectomy
