code,term
219328003,"Hanging, strangulation or suffocation of unknown intent"
219334005,Injury of unknown intent by firearms and explosives
219336007,Injury of unknown intent by shotgun
219337003,Injury of unknown intent by hunting rifle
219338008,Injury of unknown intent by military firearm
219342006,Injury of unknown intent by sharp instrument
219343001,Injury of unknown intent by cutting instrument
219344007,Injury of unknown intent by stabbing instrument
219346009,Injury of unknown intent due to fall from height
219359001,Injury of unknown intent by electrocution
222759003,"[X]Hanging, strangulation and suffocation undetermined intent"
222793004,"[X]Rifle, shotgun and larger firearm discharge, undetermined intent"
222804005,"[X]Other and unspecified firearm discharge, undetermined intent"
269688005,"Accidental poisoning caused by drugs, medicines and biologicals"
269735005,Injury undetermined whether accidentally or purposely inflicted
275385007,Poisoning caused by biological substance
290805006,Lithium poisoning of undetermined intent
290809000,Amitriptyline poisoning of undetermined intent
290813007,Amoxapine poisoning of undetermined intent
290817008,Butriptyline poisoning of undetermined intent
290821001,Clomipramine poisoning of undetermined intent
290825005,Desipramine poisoning of undetermined intent
290829004,Dothiepin poisoning of undetermined intent
290833006,Doxepin poisoning of undetermined intent
290836003,Imipramine poisoning of undetermined intent
290840007,Iprindole poisoning of undetermined intent
290844003,Lofepramine poisoning of undetermined intent
290848000,Nortriptyline poisoning of undetermined intent
290852000,Protriptyline poisoning of undetermined intent
290856002,Trimipramine poisoning of undetermined intent
290859009,Tricyclic antidepressant poisoning of undetermined intent
290863002,Phenelzine poisoning of undetermined intent
290867001,Iproniazid poisoning of undetermined intent
290871003,Isocarboxazid poisoning of undetermined intent
290875007,Tranylcypromine poisoning of undetermined intent
290879001,Moclobemide poisoning of undetermined intent
290887000,Venlafaxine poisoning of undetermined intent
290914002,Tetracyclic antidepressant drug poisoning
290915001,Maprotiline poisoning
290918004,Maprotiline poisoning of undetermined intent
290919007,Mianserin poisoning
290922009,Mianserin poisoning of undetermined intent
290923004,Trazodone poisoning
290926007,Trazodone poisoning of undetermined intent
290930005,Viloxazine poisoning of undetermined intent
291125000,Sulpiride poisoning of undetermined intent
295830007,Overdose of antidepressant drug
295835002,Amitriptyline overdose
295918002,Selective serotonin re-uptake inhibitor overdose
390867000,History of repeated overdose
473128000,Suspected drug overdose
55680006,Drug overdose
65425009,Poisoning caused by imipramine
676361000000101,Drug and medicament poisoning NOS
75478009,Poisoning
78695006,Poisoning caused by amitriptyline
7895008,Poisoning caused by drug AND/OR medicinal substance
82276009,Poisoning caused by antidepressant
9291000,Poisoning caused by monoamine oxidase inhibitor
